category_id,category_name
12339,Faith
69720,Relationships
69722,Marriage
14191,Nursing
14195,Assessment & Diagnosis
14231,Pediatric & Neonatal
14389,Pediatrics
14392,General
227640,Nursing
227643,Assessment & Diagnosis
227660,Pediatrics
13778,Mechanical
13788,General
226498,Aerospace
226500,Advanced Mechanics
13663,Civil
226524,Mechanics
2624,Industries & Professions
2636,"Hospitality, Travel & Tourism"
4262,Regional & International
4300,U.S. Regional
4314,South
27,Travel
17025,General
17031,Food & Lodging
17035,Dining
17227,United States
17228,Regions
17244,South
17248,General
605012,Travel
3074321,Categories
639538,Travel Books
640084,General
640090,Food & Lodging
640094,Dining
640502,United States
640504,Regions
640520,South
640524,General
767882,Industries & Professions
767918,"Hospitality, Travel & Tourism"
4229,Gastronomy
4232,History
4251,Professional Cooking
4254,Professional
4307,General
4309,Middle Atlantic
3017,"Science Fiction, Fantasy, & Magic"
17470,Science Fiction
3302,Series
3328,Fantasy & Adventure
918066,T.Witches
1084192,Issues
1084244,Twins
40,Rock
67203,Blues Rock
67204,Classic Rock
67222,Southern Rock
408254,Album-Oriented Rock (AOR)
554478,Live Albums
497322,Southern Rock
599868,Arena Rock
2787,Animals
2812,Dogs
2813,Fiction
3003,Humorous
16917,Europe
16946,Great Britain
16952,General
16956,Scotland
67620,General
639832,Europe
639912,Great Britain
639932,General
639936,Scotland
639938,General
467970,Sports
284688,General
494022,Biography
494044,Hockey
579536,( M )
2558,Business Life
2566,General
2637,Human Resources & Personnel Management
549726,Digital Business & Culture
3700,Manager's Guides to Computing
11119,Psychology & Counseling
11189,Occupational & Organizational
767742,Biographies & Primers
767772,Secrets of Success
767920,Human Resources & Personnel Management
768162,Computer & Internet Books
768564,Internet
768606,Digital Business & Culture
768660,Manager's Guides to Computing
292203,Book Clubs
400092,Literature & Fiction
400096,Popular Fiction
5319,Home Design
5328,Remodeling & Renovation
5335,General
20,Parenting & Families
11370,Family Relationships
11390,Parent & Adult Child
3048891,Memoirs
14237,Reference
14245,Physician & Patient
14258,Hospice Care
227663,Reference
163328,General
284927,Brazil
454404,( B )
454408,"Babenco, Hector"
502938,Children
502948,Coming of Age
291236,By Theme
572062,Coming of Age
193685,By Original Language
573530,Portuguese
579542,( P )
740122,Childhood Drama
740132,Urban Life
740136,Down on Their Luck
740178,Kids in Trouble
764560,New Yorker Films
764562,All New Yorker Titles
764566,Latin American Cinema
10311,World Literature
9822,United States
9882,Classics
9924,"Whitman, Walt"
9966,Poetry
10248,Poetry
10259,General
10285,Single Authors
10287,United States
70044,( W )
70700,"Whitman, Walt"
19,19th Century
725800,General
494018,Basketball
579538,( N )
3839,Programming
4021,Web Programming
3601,Active Server Pages
3952,Languages & Tools
3956,C & C++
3959,General
171114,General
12449,Theology
172812,Eschatology
549646,Databases
657764,General
9988,Books & Reading
10001,General
11399,Literature Guides
17443,Literature & Fiction
17445,Classics
3018,Spine-Chilling Horror
49,Horror
5439,"Authors, A-Z"
8806,( S )
9222,"Stine, R. L."
170063,General
170540,"Authors & Illustrators, A-Z"
170559,( S )
281800,"Stine, R. L."
513038,Obsessions
513092,Monsters
3011,Popular Culture
3016,"Mysteries, Espionage, & Detectives"
7280,( J )
7312,"James, Del"
3360,Mystery & Detective
281836,Scooby-Doo Mystery
918102,Scooby Doo Mysteries
67206,General
12350,Church History
12354,General
12364,Ministry
12404,Protestantism
12438,Pentecostal
4729,Relationships
4733,Love & Romance
11256,Folklore & Mythology
11289,General
12689,Occult
12710,Magic
12714,Occultism
2612,General
2717,Personal Finance
2721,Financial Planning
2731,Retirement Planning
11352,Aging Parents
11360,Retirement Planning
767880,General
768056,Personal Finance
768062,Financial Planning
768068,Retirement Planning
2967,Action & Adventure
3020,People & Places
3149,Social Situations
3153,Friendship
3154,Fiction
3305,Classics
3307,Betsy & Tacy
4456,Humor
4464,Essays
4466,General
3648,Hackers
3997,Project Management
4003,Security
768618,Hackers
768626,Project Management
768636,Security
290060,Outdoors & Nature
290078,Field Guides
290081,Birds
290082,Regional
290089,United States
290094,Rocky Mountains
16386,Birdwatching
290110,General
764418,Reference
404272,VHS
140,Actors & Actresses
140748,( B )
141122,"Barrymore, Ethel"
141883,"Bohnen, Roman"
142037,"Boulton, Matthew"
142797,( C )
144211,"Coulouris, George"
144551,( D )
145628,"Duryea, Dan"
146055,( F )
146404,"Fitzgerald, Barry"
146925,( G )
147686,"Grant, Cary"
157485,( S )
158210,"Shayne, Konstantin"
158751,"Soderling, Walter"
160685,( W )
161832,"Wyatt, Jane"
404274,Genres
129,Drama
168754,General
524212,Classics
168482,By Theme
740040,Psychological Drama
740052,Family Life
740062,Mothers & Sons
4507,Music
4511,History & Criticism
465600,New & Used Textbooks
468206,Humanities
468208,Art & Music
491372,Appreciation & History
491386,Music
491388,General
468230,History
491414,Europe
3045,Family Life
3064,Siblings
3066,Nonfiction
69802,Multilingual
69810,Spanish
301731,Libros en español
301735,Infantil y juvenil
3176,Reference & Nonfiction
3192,School & Education
2419,Professionals & Academics
2423,Medical
4635,General
14305,Special Topics
14243,Nutrition
225828,Internal Medicine
14361,Oncology
14367,General
301733,Biografías y memorias
4656,Disorders & Diseases
171141,Cancer
465674,General
3069,Holidays & Festivals
3072,Christmas
3073,Fiction
75,Science
13857,General
13884,Mathematics
13942,History
14183,General
14185,History
3101,Religions
172820,Christianity
3103,Biographies
3113,Fiction
3114,Christian
266237,Jesus
11019,Philosophy
11035,Epistemology
11043,General
11057,Modern
886134,Movements
11063,Phenomenology
4987,Historical Study
4988,Historiography
1205142,General
11272,Human Geography
3048861,Children's Studies
132,Kids & Family
169045,Animation
169187,General
169207,Characters & Series
266100,Jonny Quest
290410,Cartoon Network
298714,General
7,7-9 Years
4402,Games
4409,Card Games
4413,General
4435,General
12621,New Age
12636,Divination
12659,Tarot
3049,General
266680,Series
280275,Seventh Heaven
2538,Biographies & Primers
2542,Company Profiles
2684,Management Science
2732,Reference
2737,General
767746,Company Profiles
768002,Management Science
768086,Reference
768092,General
4484,Movies
4498,Reference
4569,Television
4574,Reference
5066,Antiques & Collectibles
5067,Americana
21,Reference
11713,Encyclopedias
11716,Art
11726,Encyclopedias
11751,Pop Culture
11757,Television
10777,Law
173488,Intellectual Property
10960,"Patent, Trademark & Copyright"
173483,Practical Guides
10963,General
173487,Law Practice
10975,Reference
11891,Publishing & Books
11892,Authorship
12015,Writing
12024,General
173518,Law
227486,Intellectual Property
227490,"Patent, Trademark & Copyright"
227492,Law Practice
227499,Reference
4301,African American
11334,General
408268,General
2375,General
12735,Other Eastern Religions
12746,General
12809,Spirituality
12813,General
297871,"Authors, A-Z"
297876,( E )
297948,"Easwaran, Eknath"
142653,"Burkley, Dennis"
145163,"Dillon, Kevin"
149429,( I )
149446,"Idol, Billy"
150127,( K )
150602,"Kilmer, Val"
152234,( M )
769018,Maberly to Mazzello
152313,"Maclachlan, Kyle"
152359,"Madsen, Michael"
156257,( Q )
156298,"Quinlan, Kathleen"
156323,( R )
157461,"Ryan, Meg"
159315,"Studi, Wes"
161217,"Westerman, Floyd Red Crow"
161234,"Whaley, Frank"
161589,"Wincott, Michael"
139,Directors
167337,( S )
167801,"Stone, Oliver"
168508,Biography
498864,Special Features
292355,Today's Deals in Video
531318,Drama
508526,Musicals & Performing Arts
169351,Musicals
577350,Drama
735448,Video Outlet
735460,Drama
740020,Addiction & Alcoholism
740030,Artists & Writers
9920,"Twain, Mark"
70041,( T )
70670,"Twain, Mark"
284637,General
285693,Paperback
158248,"Sheldon, Jack"
292340,Schoolhouse Rock
498860,Specialty Stores
300374,Disney Home Video
300375,All Disney Titles
301898,By Age
301902,For the Whole Family
301891,Animated Cartoons
407860,All Titles
11401,Parenting
11403,Babies & Toddlers
11404,Breastfeeding
540744,
540988,Categories
541564,Feeding
541568,Breastfeeding
548878,Books
547930,Specialty Stores
559958,"Books, Music & More"
692266,"Books, Music & Videos for Parents"
692272,Breastfeeding Books
2247,Children's Books
2253,General
2296,Literature & Fiction
2297,General
11475,Dictionaries & Thesauruses
11486,English (All)
11495,Foreign Language
11571,Polish
11773,Foreign Languages
11811,Instruction
11847,Polish
33,International
63761,South & Central America
63766,Brazil
63848,General
289122,Latin Music
63851,General
63849,Latin Music
292819,Samba
171245,International
520182,General
520232,Latin Music
520234,General
641094,Music for Travelers
641126,South & Central America
641140,Brazil
641618,Latin Music
641620,Samba
10484,Thrillers
10493,Spy Stories & Tales of Intrigue
17236,Northeast
17242,New England
640512,Northeast
640518,New England
9894,General
10300,Short Stories
10301,United States
2604,Finance
2607,Corporate Finance
2741,Small Business & Entrepreneurship
2747,General
767866,Finance
767870,Corporate Finance
768100,Small Business & Entrepreneurship
768106,General
11606,General
11619,Slang & Idioms
14631,Technology
14637,History of Technology
12341,General
12422,Inspirational
85,Classical
5338,"Featured Composers, A-Z"
7346,( B )
11397,"Brahms, Johannes"
11426,All Works by Brahms
36632,Forms & Genres
36636,Concertos
36637,Concertinos
36639,General
38374,Instruments
38439,Strings
38469,Violin
38472,"Featured Performers, A-Z"
39670,( B )
40626,Berlin Philharmonic Orchestra
58403,( S )
59342,"Shaham, Gil"
300358,General
892976,Labels
301122,Amazon.com Label Stores
886976,Deutsche Grammophon Records
2608,Finance & Investing
2665,Investing
2672,Options
2722,General
173509,Accounting & Finance
266119,Finance
266120,General
767872,Finance & Investing
767974,Investing
767988,Options
768064,General
13998,Administration & Policy
13999,General
227560,Administration & Medicine Economics
227561,General
10485,General
10495,Suspense
69724,Books on CD
1038382,Literature & Fiction
69728,General
10134,Genre Fiction
171129,Political
4436,Logic & Brain Teasers
4439,Puzzles
10108,Essays
10114,General
173057,"Eliot, T. S."
10896,General
173486,Business
10966,Property
227444,Business
227458,Property
10605,Education
10635,General
173517,Education
10646,Lesson Planning
69829,Education Theory
69832,Assessment
69836,Finance
172766,Standards
266137,Pedagogy
13924,General
11291,Marriage & Family
11383,General
11388,Motherhood
14375,Ophthalmology
14377,Otolaryngology
227199,Surgery
227196,Ophthalmology
227691,Otolaryngology
282800,Personal Health
4672,Women's Health
4676,Pregnancy & Childbirth
4679,General
11410,Infants
11423,General
692282,Infant-Development Books
692288,Parenting Books
692292,Pregnancy & Childbirth Books
4512,Musical Genres
1537,Classical
1539,Composers
1564,"Mozart, Wolfgang Amadeus"
10177,Historical
916928,"People, A-Z"
916954,( M )
917210,"Mozart, Wolfgang Amadeus"
2804,Cats
2806,Nonfiction
2853,Pets
2855,Nonfiction
3510,Web Development
3525,"HTML, Graphics, & Design"
3539,Web Graphics
3554,Internet Commerce
3565,Web Site Design
4134,Graphics & Illustration
549650,Applications
4154,Image Composer
301149,General
26,Sports
16533,Individual Sports
16539,Bowling
11086921,General
2669,General
767982,General
1104,"Artists, A-Z"
1440,( V-Z )
1459,"West, Benjamin"
10475,Series
10480,Women Sleuths
3207,"Science, Nature & How It Works"
3228,Fiction
3315,Early Reader
3324,Magic School Bus
170543,( C )
170637,"Cole, Joanna"
170544,( D )
170651,"Degen, Bruce"
301737,No ficción
297883,( L )
173106,"Lahaye, Tim"
285760,General
285765,Paperback
12489,Fiction
735744,General
11088,Ideologies
11089,Communism & Socialism
11091,Radical Thought
2753,Basic Concepts
2765,General
170644,"Crews, Donald"
692218,Books for Babies
694936,Concept Books
694944,General
37,Pop
406646,Vocal Pop
513062,General
2808,Dinosaurs
2810,Nonfiction
3049241,General
169181,Dinosaurs
300155,General
300158,TV Shows
300285,Dink the Little Dinosaur
531336,Kids & Family
735464,Kids & Family
285081,Studio Specials
285184,Warner Home Video
753534,Warner Video Bargains
753562,Kids & Family
4094,Desktop Publishing
171130,General
295224,Adobe InDesign
3253,Math
3259,General
1099194,Science & Technology
1099196,General
1099204,Mathematics
1474,Dance
1476,Ballroom
1514,General
1518,Popular
1519,Reference
10132,Literary
69307,( G )
69448,"Greeley, Andrew"
14010,Medical History & Records
14012,Practice Management & Reimbursement
14271,Reference
14276,General
14603,Reference
14614,Medical
14621,General
227567,Medical History & Records
227568,Practice Management & Reimbursement
227670,Reference
227671,General
11107,Political Parties
11109,Practical Politics
2682,Leadership
2745,Entrepreneurship
767800,Careers
767820,Entrepreneurship
767998,Leadership
2259,"Health, Mind & Body"
2263,Personal Growth
2265,Psychology
2317,Religion & Spirituality
2321,General
2322,Inspiration & Philosophy
4736,Self-Help
4744,Motivational
4745,Personal Transformation
12817,Inspirational
282881,"Authors, A-Z"
284593,"Vanzant, Iyanla"
284594,General
287142,( V )
287214,"Vanzant, Iyanla"
31,Blues
5234,Chicago Blues
5243,General
642084,North America
641104,American Regional Blues
641118,Chicago Blues
13463691,Modern Blues
12374,Youth Ministry
12522,Islam
12526,General
12358,Church Institutions & Organizations
3043241,Women's Issues
173429,Christian & Gospel
63941,General
63943,Gospel
12292,Catholicism
12297,Inspirational
14459,Environment
14463,Ecology
5035,World
5039,General
2446,Biographies
2448,Basketball
2450,General
16327,Basketball
193913,General
193914,College & University
3216,Chemistry
9810,Ghosts
12599,Mythology
12617,General
12725,Supernatural
12729,Unexplained Mysteries
524198,Collections & Readers
4866,General
13570,Chemistry
13588,Physical & Theoretical
14545,Physics
14554,Dynamics
14587,Thermodynamics
13649,Chemical
226514,Thermodynamics
173510,Professional Science
227282,Chemistry
227289,Physical & Theoretical
227399,Physics
227418,Thermodynamics
11365,Family Activities
5418,Weddings
5421,General
12540,Judaism
12563,Jewish Life
12761,Other Practices
12771,Ritual
16199,General
14652,"Authors, A-Z"
15504,( L )
15512,"Lackey, Mercedes"
284611,General
285629,Paperback
163357,Comedy
163371,General
415038,"Burke, James"
416650,"Carney, Art"
419544,( D )
420216,"Dearing, Edgar"
424172,( G )
425226,"Goddard, Paulette"
425448,"Gordon, Mary"
427538,"Heidt, Horace"
440340,( P )
442328,"Prouty, Jed"
444858,( S )
448118,"Stewart, James"
451116,( W )
452934,"Winninger, Charles"
459370,( M )
459604,"Marshall, George"
523936,Classic Comedies
882766,All Deals
531546,Comedy
882768,General
734010,Comedy
883698,General
883766,All Deals
11533,French
11825,French
11970,Words & Language
12011,Vocabulary
416482,"Caprioli, Vittorio"
420296,"Delair, Suzy"
426880,"Hardy, Oliver"
432746,"Laurel, Stan"
454742,"Berry, John"
463154,( W )
463410,"Whelan, Tim"
579534,( L )
508532,Documentary
163452,General
518970,Space Exploration
531548,Documentary
694466,Formats
501230,Boxed Sets
599828,Documentary
734012,Documentary
599848,Special Interests
163448,Special Interests
284687,Religion & Spirituality
1039138,General
1039142,Religion & Spirituality
1039150,Christian DVD
1039154,General
1039156,Jesus
10197,Westerns
10198,General
135,Special Interests
169865,Travel
265631,General
133,Music Video & Concerts
465342,Artists
509212,"Buffett, Jimmy"
640910,Travel Videos
640912,General
12458,General
297489,Angelology
297524,Angels
893520,Religious Warfare
163312,Westerns
291008,General
291054,Classics
416454,"Canutt, Yakima"
418002,"Cleveland, George"
421704,"Dwire, Earl"
427360,"Hayes, George Gabby"
436532,"McKee, Lafe"
451830,"Wayne, John"
453666,"Young, Polly Ann"
579530,( J )
599838,Westerns
898804,Western Stars
898824,John Wayne
1077042,Classics
2984,Anthologies
10470,Historical
69316,( P )
69586,"Perry, Anne"
299951,General
299953,Paperback
5241,Gardening & Horticulture
5276,General
5283,House Plants
13469,Biological Sciences
226688,Biology
226690,Entomology
227266,Biological Sciences
227268,Biology
227271,Entomology
520998,Art
1064,Art History
1066,General
585494,General
12667,General
12723,Spiritualism
4705,Massage
4712,Therapy
14371,Rheumatology
227213,Rheumatology
297481,General
298657,General
11268,General
12775,Tribal & Ethnic
2427,Social Scientists & Psychologists
2439,Biographies & Memoirs
2440,Gay
2441,General
11237,General
2437,Specific Groups
171115,Adventurers & Explorers
10307,General
11628,Education
11655,TOEFL & TOEIC
11904,Test Prep Central
11932,TOEFL
281300,Anime & Manga
408146,By Studio
408148,Pioneer
466692,General
408132,Characters & Series
548958,Clamp School Detectives
2376,Historical
2393,General
2396,Leaders & Notable People
2418,Presidents & Heads of State
4990,Revolutionary
4994,Holocaust
11249,Discrimination & Racism
912592,"Authors, A-Z"
912596,( B )
912672,"Block, Francesca Lia"
14249,Diagnosis
14336,Infectious Disease
14337,Communicable Diseases
14339,Epidemiology
227206,Infectious Disease
227207,Communicable Diseases
227208,Epidemiology
227667,Physical Examination
11023,Consciousness & Thought
13871,History & Philosophy
13872,General
13799,Quality Control
163450,Television
173580,TV Series
173583,Avengers
403936,A&E Home Video
403938,All A&E Titles
415914,General
455972,( D )
456096,"Day, Robert"
456580,( F )
456758,"Flemyng, Gordon"
456968,"Fuest, Robert"
403504,( H )
457558,"Hammond, Peter"
457684,"Hayers, Sidney"
457820,"Hill, James"
460446,( O )
460490,"Ohara, Gerry"
403580,( S )
462036,"Sharp, Don"
462634,"Sykes, Peter"
579512,( A )
599836,Television
886150,British Cult Television
886152,General
898094,Classic TV
13743401,By Decade
1950,1950-1959
13743451,General
4481,Sports
12444,Self Help
173581,Abbott & Costello
409682,( A )
409704,"Abbott, Bud"
411396,"Baer, Buddy"
411400,"Baer, Max"
412320,"Beatty, Clyde"
414496,"Brooke, Hillary"
418822,"Costello, Lou"
428664,"Howard, Shemp"
451246,"Walker, Bill"
454536,"Barton, Charles"
599826,Comedy
692182,Formats
541660,Spanish Language
301056,Infantil y familiar
301057,Series
497662,Barney
423008,"Fields, W.C."
453440,"Yaconelli, Frank"
461084,( R )
461332,"Ripley, Arthur"
579556,( W )
12343,Leadership
12779,Religious Studies
12783,Comparative Religion
12803,Psychology
2581,Economics
2589,Economic History
11160,Creativity & Genius
767760,Business History
4738,General
282848,Pain Management
11709,Testing
12053,Writing Skills
408252,General
1099190,Study Guides
1830,Instruction & Reference
1836,Study & Teaching
10825731,Criticism
145667,"Dylan, Bob"
554574,"Dylan, Bob"
136,Television
169911,TV Series
1023408,MTV Unplugged
1039864,MTV
1039872,General
13474,Animals
13499,Mammals
282917,Stress
282929,Mind-Body Connection
4666,General
14001,Health Care Delivery
14014,Public Health
227562,Health Care Delivery
227569,Public Health
70029,( H )
70339,"Hornby, Nick"
23,Romance
13354,Contemporary
524200,General
4472,"Love, Sex & Marriage"
4474,Political
4478,"Satire, General"
10546,Current Events
10552,Conspiracy Theories
11105,Leadership
11111,Reference
298531,By Publisher
571658,Scholastic
571660,Scholastic Teaching Resources
571668,All Scholastic Teaching Resources
69835,Educational Reform
3048951,School Safety & Violence
297891,( T )
173168,Thomas a' Kempis
2351,Biographies
2354,General
2362,Science & Technology
2789,Apes & Monkeys
2791,Nonfiction
3261,Nature
3263,Environment
3265,Nonfiction
1099200,Ecology
173492,Administrative Law
10864,Emigration & Immigration
227433,Administrative Law
227435,Emigration & Immigration
1095,Regional
1100,European
1829,Graphic Design
1863,Graphic Arts
1864,General
45,Bargain Books
2460,Children
2464,Animals
2469,Literature & Fiction
2472,General
2524,Travel
605016,Bargain Travel Books
660666,Bargains
661972,Travel Books
733804,Bargain Books Outlet
733820,Children
733828,Animals
733838,Literature & Fiction
733844,General
733946,Travel
2698,Marketing & Sales
2712,Sales & Selling
2713,General
768022,Marketing & Sales
768048,Sales & Selling
768050,General
13985,Study & Teaching
468224,Education
491354,Curriculum & Instruction
491356,General
491360,General
573248,General
126,Art House & International
162167,By Country
162192,Poland
162201,By Original Language
162229,Polish
2236,Business
2245,Sales
768142,Books on Tape
768154,Sales
3448,Certification Central
3449,Exams
3456,MCSE
3459,Publisher
3460,Coriolis
549648,Specific Databases
3804,SQL
3805,General
285844,Microsoft
285848,Development
3806,SQL Server
4084,Database Management Systems
285847,Operating Systems
4130,Windows - General
407484,General
768182,Windows
768184,Windows OS
768188,Windows - General
63709,General
63704,Dance Pop
467944,General
163420,Music Video & Concerts
163427,General
511484,Other Music
511464,Christian & Gospel
579518,( D )
1039160,Music
13696,Electrical & Optical
13720,Optics
13709,Fiber Optics
14601,Waves & Wave Mechanics
227420,Waves & Wave Mechanics
266173,General
1316,( M-O )
1323,"Mapplethorpe, Robert"
2033,"Photographers, A-Z"
2050,General
2084,Portraits
733566,"Photographers, A-Z"
733568,General
733596,"Mapplethorpe, Robert"
733680,Portraits
13529,Ecology
227280,Ecology
5159,Origami
2319,Christianity
4734,Marriage
297875,( D )
173050,"Dobson, James"
9908,"Melville, Herman"
11630,Book Notes
70034,( M )
70461,"Melville, Herman"
284630,General
285686,Paperback
3059,New Experiences
3094,Multicultural Stories
3095,African-American
3096,Asian & Asian American
3123,Social Issues
3134,New Experiences
912618,( M )
912804,"Mead, Alice"
1084222,Bullies
70022,( A )
70059,"Alexie, Sherman"
70835,"Poets, A-Z"
70836,( A )
70863,"Alexie, Sherman"
70040,( S )
70610,"Sheldon, Sidney"
36,New Age
63957,General
171254,Classical
171248,New Age
520256,General
2155,Acting & Auditioning
11626,Catalogs & Directories
170941,Directories
154347,( N )
154545,"Newhart, Bob"
128,Comedy
163249,General
893516,Stand-Up
4868,Civil War
465222,General
16,Country
63695,General
63700,Traditional Country
63697,Nashville Sound
14439,Veterinary Medicine
14445,General
227719,Veterinary Medicine
227720,General
16479,Hunting & Fishing
16480,Fishing
16482,Fly Fishing
16485,General
16490,General
39,R&B
67180,Classic R&B
67184,General
67185,Motown
67186,Soul
67188,General
470504,Quiet Storm
468038,Formats
287454,Today's Deals in Music
883132,R&B
883380,R&B General
883376,Classic R&B
883382,Motown
883384,Quiet Storm
883386,Soul
883388,Soul General
661012,Music
884948,R&B
884958,R&B General
884950,Classic R&B
884962,Motown
884966,Quiet Storm
884970,Soul
884972,Soul General
734368,Music Outlet
884198,R&B
884208,R&B General
884200,Classic R&B
884212,Motown
884216,Quiet Storm
884220,Soul
884222,Soul General
883648,All Bargain Titles
883652,All Bargain Titles
883654,All Bargain Titles
883656,All Bargain Titles
883658,All Bargain Titles
884202,All Bargain Titles
884210,All Bargain Titles
884214,All Bargain Titles
884218,All Bargain Titles
884224,All Bargain Titles
884952,All Bargain Titles
884960,All Bargain Titles
884964,All Bargain Titles
884968,All Bargain Titles
884974,All Bargain Titles
1764,Instruments & Performers
1767,Guitar
4539,"Theory, Composition & Performance"
1819,Songbooks
1824,Popular
4510,General
226697,Electromagnetism
226995,Electromagnetic Theory
2696,Total Quality Management
768018,Total Quality Management
63696,Honky-Tonk
13579,General & Reference
13654,General
227285,General & Reference
10582,Race Relations
10583,America
5043,Animal Care & Pets
5049,Dogs
5050,Breeds
5056,General
10613,Contemporary Methods
10618,Language Experience Approach
11990,Phonetics & Phonics
69822,Adult & Continuing Education
541646,Reading
5012,Aviation
491422,United States
467946,Euro Dance
604222,Euro Pop
604224,General
1067,"Schools, Periods & Styles"
1083,Modern
1873,Religious
5145,Glass & Glassware
5172,Reference
10137,Anthologies
16277,Anthologies
16282,General
69844,Homeschooling
467958,General
3371,Sports & Activities
3383,Games
3392,Travel
17205,Specialty Travel
17215,Family Travel
640360,Specialty Travel
640492,Family Travel
139920,( A )
140185,"Allen, Karen"
152452,"Malkovich, John"
154422,"Naughton, James"
161763,"Woodward, Joanne"
166632,( N )
166677,"Newman, Paul"
